가해당사자종,피해당사자종,사고건수,사망자수,중상자수,경상자수,부상신고자수
승용차,승용차,69118,165,12318,102428,4841
승용차,승합차,4201,24,1017,7198,533
승용차,화물차,7619,73,1721,9889,590
승용차,특수차,463,11,76,553,40
승용차,이륜차,17805,130,6851,12062,618
승용차,사륜오토바이(ATV),82,5,45,44,4
승용차,원동기장치자전거,1655,16,596,1139,66
승용차,자전거,4718,47,1766,2836,188
승용차,개인형이동수단(PM),785,6,249,557,32
승용차,건설기계,614,26,118,695,67
승용차,농기계,204,17,119,110,15
승용차,보행자,22163,583,8429,13228,938
승용차,기타/불명,3013,245,1225,1905,580
승합차,승용차,3769,12,732,5662,311
승합차,승합차,290,0,99,627,87
승합차,화물차,513,7,161,751,56
승합차,특수차,28,0,16,41,4
승합차,이륜차,905,14,356,592,41
승합차,사륜오토바이(ATV),5,0,4,1,0
승합차,원동기장치자전거,81,1,36,41,6
승합차,자전거,318,14,118,177,16
승합차,개인형이동수단(PM),48,1,21,29,1
승합차,건설기계,38,1,30,59,11
승합차,농기계,12,0,12,41,8
승합차,보행자,2194,77,934,1144,120
승합차,기타/불명,1722,19,761,1265,139
화물차,승용차,13116,69,2767,18355,803
화물차,승합차,764,11,270,1363,78
화물차,화물차,2813,116,980,3564,224
화물차,특수차,170,9,59,184,10
화물차,이륜차,2428,39,1020,1485,76
화물차,사륜오토바이(ATV),36,10,17,13,1
화물차,원동기장치자전거,267,7,121,157,11
화물차,자전거,971,35,409,506,32
화물차,개인형이동수단(PM),80,1,27,47,6
화물차,건설기계,203,17,49,198,16
화물차,농기계,113,17,77,53,2
화물차,보행자,4334,231,1953,2185,142
화물차,기타/불명,786,125,318,363,111
특수차,승용차,776,6,174,1048,31
특수차,승합차,33,0,14,58,3
특수차,화물차,142,6,60,161,5
특수차,특수차,38,5,16,43,1
특수차,이륜차,50,4,26,26,1
특수차,사륜오토바이(ATV),1,0,1,0,0
특수차,원동기장치자전거,9,1,5,3,0
특수차,자전거,23,2,9,11,1
특수차,개인형이동수단(PM),4,0,2,2,0
특수차,건설기계,14,0,3,17,1
특수차,농기계,4,2,1,1,0
특수차,보행자,111,11,59,39,3
특수차,기타/불명,23,2,9,13,0
이륜차,승용차,8939,105,2009,9256,1636
이륜차,승합차,650,17,190,561,136
이륜차,화물차,1170,43,363,781,224
이륜차,특수차,35,1,11,20,8
이륜차,이륜차,2235,17,875,1801,239
이륜차,사륜오토바이(ATV),7,0,2,11,0
이륜차,원동기장치자전거,40,0,13,31,3
이륜차,자전거,626,4,249,398,49
이륜차,개인형이동수단(PM),98,0,42,63,8
이륜차,건설기계,58,9,18,21,15
이륜차,농기계,16,1,8,7,2
이륜차,보행자,2924,28,1272,1805,220
이륜차,기타/불명,1577,172,529,615,355
사륜오토바이(ATV),승용차,82,2,25,80,8
사륜오토바이(ATV),승합차,3,0,3,0,0
사륜오토바이(ATV),화물차,27,1,8,21,4
사륜오토바이(ATV),특수차,1,0,1,1,0
사륜오토바이(ATV),이륜차,7,0,7,2,1
사륜오토바이(ATV),사륜오토바이(ATV),3,0,0,4,0
사륜오토바이(ATV),원동기장치자전거,1,0,0,0,1
사륜오토바이(ATV),자전거,3,0,0,4,0
사륜오토바이(ATV),건설기계,3,0,1,3,0
사륜오토바이(ATV),보행자,19,0,6,15,0
사륜오토바이(ATV),기타/불명,100,20,38,32,14
원동기장치자전거,승용차,918,11,197,910,188
원동기장치자전거,승합차,59,0,15,41,16
원동기장치자전거,화물차,97,3,38,61,17
원동기장치자전거,특수차,4,1,3,1,0
원동기장치자전거,이륜차,43,0,20,28,4
원동기장치자전거,원동기장치자전거,204,0,81,159,20
원동기장치자전거,자전거,70,0,22,49,8
원동기장치자전거,개인형이동수단(PM),14,0,7,8,2
원동기장치자전거,건설기계,9,3,2,3,1
원동기장치자전거,농기계,1,0,1,0,0
원동기장치자전거,보행자,349,4,138,223,22
원동기장치자전거,기타/불명,206,17,79,62,66
자전거,승용차,2128,20,494,1184,536
자전거,승합차,188,5,57,99,39
자전거,화물차,399,10,105,199,92
자전거,특수차,7,0,4,2,1
자전거,이륜차,333,3,95,230,81
자전거,원동기장치자전거,43,0,16,28,12
자전거,자전거,816,1,346,524,152
자전거,개인형이동수단(PM),32,0,16,17,6
자전거,건설기계,14,1,4,9,1
자전거,농기계,2,0,2,0,0
자전거,보행자,1267,3,423,800,171
자전거,기타/불명,280,27,103,76,75
개인형이동수단(PM),승용차,567,6,119,379,158
개인형이동수단(PM),승합차,34,0,10,14,10
개인형이동수단(PM),화물차,62,0,11,33,23
개인형이동수단(PM),특수차,1,0,0,1,0
개인형이동수단(PM),이륜차,105,0,31,80,16
개인형이동수단(PM),원동기장치자전거,14,0,4,14,3
개인형이동수단(PM),자전거,100,2,31,72,15
개인형이동수단(PM),개인형이동수단(PM),16,0,8,8,3
개인형이동수단(PM),건설기계,1,0,0,1,0
개인형이동수단(PM),보행자,663,0,172,470,52
개인형이동수단(PM),기타/불명,172,11,51,64,48
건설기계,승용차,1619,3,348,2031,67
건설기계,승합차,67,0,17,135,12
건설기계,화물차,275,6,115,327,9
건설기계,특수차,12,2,10,20,0
건설기계,이륜차,107,7,54,50,2
건설기계,사륜오토바이(ATV),2,0,2,0,0
건설기계,원동기장치자전거,12,1,5,9,0
건설기계,자전거,54,9,28,15,2
건설기계,개인형이동수단(PM),3,0,2,1,0
건설기계,건설기계,60,3,16,61,3
건설기계,농기계,11,0,10,1,0
건설기계,보행자,238,39,120,77,9
건설기계,기타/불명,50,9,22,14,5
농기계,승용차,106,0,39,112,6
농기계,승합차,10,0,8,11,1
농기계,화물차,43,2,15,36,4
농기계,특수차,7,0,4,3,1
농기계,이륜차,24,2,14,10,0
농기계,사륜오토바이(ATV),3,0,3,0,0
농기계,원동기장치자전거,2,0,2,0,0
농기계,자전거,8,0,6,2,0
농기계,건설기계,4,0,1,3,0
농기계,농기계,3,0,2,2,0
농기계,보행자,21,2,11,8,0
농기계,기타/불명,133,56,50,33,7
기타/불명,승용차,757,3,66,743,153
기타/불명,승합차,114,0,19,101,14
기타/불명,화물차,77,2,15,67,13
기타/불명,특수차,6,0,0,8,1
기타/불명,이륜차,414,0,72,246,102
기타/불명,원동기장치자전거,56,0,13,28,15
기타/불명,자전거,253,0,50,138,67
기타/불명,개인형이동수단(PM),43,1,9,23,10
기타/불명,건설기계,4,0,2,2,0
기타/불명,농기계,1,0,0,1,0
기타/불명,보행자,986,0,115,601,278
기타/불명,기타/불명,31,1,9,14,8
