가해당사자종,피해당사자종,사고건수,사망자수,중상자수,경상자수,부상신고자수
승용차,승용차,74386,217,19227,109435,6735
승용차,승합차,5212,46,1698,8996,953
승용차,화물차,8448,119,2641,10686,772
승용차,특수차,406,19,106,466,42
승용차,이륜차,14433,105,6293,8886,650
승용차,사륜오토바이(ATV),98,4,58,45,2
승용차,원동기장치자전거,2007,19,874,1262,77
승용차,자전거,4903,66,1976,2725,207
승용차,개인형이동수단(PM),190,0,69,122,6
승용차,건설기계,588,29,166,629,104
승용차,농기계,291,35,183,155,16
승용차,보행자,30198,882,13058,16463,1412
승용차,기타/불명,4078,296,1803,2561,667
승합차,승용차,4951,27,1443,7599,559
승합차,승합차,539,2,245,1367,322
승합차,화물차,699,13,304,1119,140
승합차,특수차,35,0,20,61,12
승합차,이륜차,898,8,436,541,36
승합차,사륜오토바이(ATV),8,1,2,5,0
승합차,원동기장치자전거,125,3,55,73,7
승합차,자전거,355,9,152,180,25
승합차,개인형이동수단(PM),11,0,5,7,0
승합차,건설기계,66,2,75,171,14
승합차,농기계,21,2,18,17,0
승합차,보행자,3538,155,1625,1768,179
승합차,기타/불명,2280,25,1022,1687,251
화물차,승용차,13000,72,3958,18110,1025
화물차,승합차,985,21,393,1780,257
화물차,화물차,2956,134,1241,3561,268
화물차,특수차,153,20,74,141,15
화물차,이륜차,2198,62,1156,1108,84
화물차,사륜오토바이(ATV),37,4,28,11,2
화물차,원동기장치자전거,269,8,134,148,12
화물차,자전거,1003,33,485,467,30
화물차,개인형이동수단(PM),31,0,9,20,2
화물차,건설기계,219,19,91,200,22
화물차,농기계,154,10,116,75,7
화물차,보행자,5447,323,2704,2453,206
화물차,기타/불명,1110,162,587,525,131
특수차,승용차,671,11,220,850,51
특수차,승합차,44,1,28,90,18
특수차,화물차,151,8,59,174,11
특수차,특수차,32,2,14,25,0
특수차,이륜차,50,5,23,23,3
특수차,사륜오토바이(ATV),1,0,0,0,1
특수차,원동기장치자전거,9,0,3,6,2
특수차,자전거,25,1,16,8,0
특수차,건설기계,17,0,11,17,2
특수차,농기계,4,0,5,0,0
특수차,보행자,125,16,55,54,5
특수차,기타/불명,49,13,16,15,8
이륜차,승용차,7446,109,2043,6044,1817
이륜차,승합차,614,23,217,493,142
이륜차,화물차,1133,52,410,631,221
이륜차,특수차,32,3,8,23,4
이륜차,이륜차,1124,6,470,871,173
이륜차,사륜오토바이(ATV),1,0,1,1,0
이륜차,원동기장치자전거,30,0,14,18,0
